user_id,date,landing,region,dispositivo,traffic_source,user_type,converted,gasto
26f3052e-8500-44ea-8fff-06de65258abb,2026-01-01,A,Norte,Mobile,Email,Recurrente,1,38.08
92378c09-4bbf-40c7-945e-82b84f392d22,2026-01-23,A,Occidente,Mobile,Organic,Nuevo,0,0.0
a4397360-40e5-45d6-a7ff-dcb4da2c9a1f,2026-01-01,B,Centro,Mobile,Organic,Nuevo,0,0.0
7ca3a26f-1e6c-44aa-9b09-b8cb01112956,2026-01-22,A,Centro,Mobile,Ads,Nuevo,0,0.0
8dc9593b-5b9c-479d-848b-a99493920419,2026-01-16,A,Sur,Mobile,Organic,Nuevo,0,0.0
1b72e41d-e797-40b6-afb8-c2d79bee7552,2026-01-27,B,Occidente,Mobile,Organic,Nuevo,0,0.0
71897b47-3f4c-40ee-9e26-f458674755a3,2026-01-28,A,Sur,Desktop,Ads,Nuevo,0,0.0
c00efddd-5cbb-4b7d-a1f3-1fa76866cff0,2026-01-02,B,Sur,Mobile,Ads,Nuevo,0,0.0
f9ee7358-321d-448e-8788-90f64d22c8f9,2026-01-04,B,Centro,Mobile,Organic,Nuevo,0,0.0
be5e7d86-884e-467f-9cf2-ece406b9eebf,2026-01-26,B,Norte,Mobile,Ads,Recurrente,1,27.61
db072c49-f4ed-4376-8d86-5ddfa7121ac8,2026-01-14,A,Occidente,Mobile,Email,Recurrente,0,0.0
6620d772-868c-4d6f-a7c3-597e3e988484,2026-01-12,A,Sur,Desktop,Organic,Nuevo,0,0.0
8591f162-dc20-4654-9ff1-6b2826097f72,2026-01-09,A,Sur,Mobile,Ads,Nuevo,0,0.0
58edfb45-ccb2-4ff8-b67f-2c16687a6abb,2026-01-05,B,Norte,Mobile,Organic,Recurrente,0,0.0
fa6008c2-05d2-4c80-b203-baf92f554e5f,2026-01-15,A,Centro,Mobile,Email,Nuevo,0,0.0
643f7b54-1e34-47e0-aa89-560c6146a437,2026-01-14,A,Oriente,Mobile,Ads,Nuevo,0,0.0
288de504-570a-4746-8951-1317df73395e,2026-01-05,B,Oriente,Desktop,Ads,Nuevo,0,0.0
23293fec-8583-4adb-838d-601d0f3a2ec8,2026-01-15,A,Sur,Mobile,Ads,Nuevo,1,42.97
a955defe-87bf-4ebc-80f5-f78397ae2616,2026-01-22,B,Sur,Mobile,Referral,Nuevo,0,0.0
9fa7ce1a-f073-4a5f-8c41-29b37c3cd9f4,2026-01-04,B,Sur,Mobile,Organic,Nuevo,0,0.0
6c8384e1-bbcb-40fd-9b05-de731665ff88,2026-01-16,A,Centro,Desktop,Organic,Recurrente,0,0.0
f7aa1da3-726e-4c5b-bdb1-f853742d98c4,2026-01-08,A,Occidente,Mobile,Organic,Nuevo,0,0.0
00cd78a4-f518-4dff-9530-fe362c3315a2,2026-01-14,A,Centro,Desktop,Email,Nuevo,0,0.0
ae3cfccc-a8e9-45b4-a95d-30c3be22049b,2026-01-27,B,Oriente,Desktop,Email,Nuevo,0,0.0
939bdb50-11a6-40f1-95b2-bdc1f3f2e0de,2026-01-25,A,Centro,Desktop,Organic,Recurrente,0,0.0
cd7e07df-50ce-42e5-b5f3-47dde51f071e,2026-01-26,B,Oriente,Desktop,Ads,Nuevo,1,70.59
8c014cd5-0641-4467-ac99-d0eda0423ff5,2026-01-11,A,Sur,Desktop,Organic,Nuevo,0,0.0
523c2cb2-c5dd-442e-9c0e-85298572e132,2026-01-10,A,Norte,Mobile,Organic,Recurrente,1,119.26
c4ec777e-9cf3-4837-91ab-61a5dcf7859f,2026-01-22,A,Oriente,Mobile,Organic,Nuevo,0,0.0
866bc1cf-e72c-4142-97ff-15a93b930502,2026-01-01,B,Centro,Desktop,Email,Recurrente,0,0.0
e2d82e66-2c91-4755-ba0a-579cb8d4ec69,2026-01-18,B,Norte,Desktop,Referral,Nuevo,1,57.38
f3d42b2f-b640-4c63-b307-a97f0f327918,2026-01-11,B,Oriente,Desktop,Organic,Recurrente,0,0.0
11801b7e-84f4-40b2-9905-d83c23ea468f,2026-01-17,B,Sur,Mobile,Organic,Nuevo,0,0.0
749d0f46-f884-4653-9a38-6b4e852fba89,2026-01-10,A,Norte,Desktop,Ads,Nuevo,0,0.0
9e5ffc41-a9bc-4859-9e4b-78e0fef2fff4,2026-01-02,A,Centro,Mobile,Organic,Nuevo,0,0.0
9ba11dff-2cf3-43ab-b28a-8c822afb542e,2026-01-20,B,Centro,Desktop,Ads,Nuevo,0,0.0
65036f42-eba2-45da-8821-55a4b56bc820,2026-01-05,B,Norte,Desktop,Ads,Recurrente,0,0.0
3aac6434-4a52-4882-b967-e5dabd32a0ed,2026-01-14,A,Norte,Mobile,Organic,Nuevo,0,0.0
da6c522c-7ec7-4258-aad9-4f3b6f217a55,2026-01-05,A,Sur,Mobile,Organic,Recurrente,0,0.0
310c32e8-f453-4968-8671-47ede55c6f10,2026-01-21,A,Sur,Mobile,Organic,Recurrente,0,0.0
b515ae4f-d280-4341-9f63-1aaccc9919ab,2026-01-19,B,Norte,Mobile,Ads,Recurrente,0,0.0
e9169462-285f-4039-aed1-0b7a74ff7ab3,2026-01-15,A,Centro,Mobile,Organic,Recurrente,0,0.0
b759375d-ad82-470c-a140-8ded2fe6f746,2026-01-20,A,Occidente,Desktop,Referral,Recurrente,0,0.0
ff8f5071-cd0b-485c-9bfd-3db83eacf53c,2026-01-21,A,Occidente,Mobile,Referral,Nuevo,0,0.0
023d5823-677c-4f1a-80dd-ac9d9f595897,2026-01-02,A,Norte,Mobile,Referral,Nuevo,1,74.26
7c1083e7-1153-4064-9f66-690981138fe2,2026-01-25,A,Oriente,Mobile,Organic,Recurrente,1,61.56
8ef1d000-8780-450f-b1c3-687834c133ab,2026-01-09,B,Occidente,Mobile,Referral,Recurrente,0,0.0
c5dcc4f7-232a-4f3b-aa1a-76b3d5c1bf49,2026-01-05,B,Centro,Mobile,Ads,Nuevo,0,0.0
fd80e0ec-94c3-4ad8-a4aa-d12f1121d790,2026-01-13,B,Norte,Desktop,Organic,Recurrente,0,0.0
